bank,date,currency,rate_buy,rate_sell,currency_name,bank_name
bank,05.04.2025,DZD,3.1085,3.1085,Algerian Dinar,НБУ
bank,05.04.2025,AUD,26.2939,26.2939,Australian Dollar,НБУ
bank,05.04.2025,BDT,3.3887,3.3887,Taka,НБУ
bank,05.04.2025,CAD,29.3408,29.3408,Canadian Dollar,НБУ
bank,05.04.2025,CNY,5.6694,5.6694,Yuan Renminbi ,НБУ
bank,05.04.2025,CZK,1.8345,1.8345,Czech Koruna,НБУ
bank,05.04.2025,DKK,6.1455,6.1455,Danish Krone,НБУ
bank,05.04.2025,HKD,5.3155,5.3155,Hong Kong Dollar,НБУ
bank,05.04.2025,HUF,11.4187,11.4187,Forint,НБУ
bank,05.04.2025,INR,4.8384,4.8384,Indian Rupee,НБУ
bank,05.04.2025,IDR,2.4691,2.4691,Rupiah,НБУ
bank,05.04.2025,ILS,11.2049,11.2049,New Israeli Sheqel,НБУ
bank,05.04.2025,JPY,2.8305,2.8305,Yen,НБУ
bank,05.04.2025,KZT,8.2394,8.2394,Tenge,НБУ
bank,05.04.2025,KRW,2.8399,2.8399,Won,НБУ
bank,05.04.2025,LBP,0.0462,0.0462,Lebanese Pound,НБУ
bank,05.04.2025,MYR,9.3072,9.3072,Malaysian Ringgit,НБУ
bank,05.04.2025,MXN,2.0593,2.0593,Mexican Peso,НБУ
bank,05.04.2025,MDL,2.3139,2.3139,Moldovan Leu,НБУ
bank,05.04.2025,NZD,24.0903,24.0903,New Zealand Dollar,НБУ
bank,05.04.2025,NOK,4.016,4.016,Norwegian Krone,НБУ
bank,05.04.2025,SAR,11.02,11.02,Saudi Riyal,НБУ
bank,05.04.2025,SGD,30.9891,30.9891,Singapore Dollar,НБУ
bank,05.04.2025,VND,1.6024,1.6024,Dong,НБУ
bank,05.04.2025,ZAR,2.1916,2.1916,Rand,НБУ
bank,05.04.2025,SEK,4.2771,4.2771,Swedish Krona,НБУ
bank,05.04.2025,CHF,48.0616,48.0616,Swiss Franc,НБУ
bank,05.04.2025,THB,12.0536,12.0536,Baht,НБУ
bank,05.04.2025,AED,11.2555,11.2555,UAE Dirham,НБУ
bank,05.04.2025,TND,13.5164,13.5164,Tunisian Dinar,НБУ
bank,05.04.2025,EGP,0.8171,0.8171,Egyptian Pound,НБУ
bank,05.04.2025,GBP,54.473,54.473,Pound Sterling,НБУ
bank,05.04.2025,USD,41.3426,41.3426,US Dollar,НБУ
bank,05.04.2025,RSD,3.9134,3.9134,Serbian Dinar,НБУ
bank,05.04.2025,AZN,24.3149,24.3149,Azerbaijan Manat,НБУ
bank,05.04.2025,RON,9.212,9.212,Romanian Leu,НБУ
bank,05.04.2025,TRY,1.0898,1.0898,Turkish Lira,НБУ
bank,05.04.2025,XDR,55.486,55.486,SDR (Special Drawing Right),НБУ
bank,05.04.2025,BGN,23.4448,23.4448,Bulgarian Lev,НБУ
bank,05.04.2025,EUR,45.8531,45.8531,Euro,НБУ
bank,05.04.2025,GEL,14.9868,14.9868,Lari,НБУ
bank,05.04.2025,PLN,10.9297,10.9297,Zloty,НБУ
